Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
Skin-Melanoma::SP82614	1.20E+01	5.39E+00	6.49E+00	1.03E+01	1.06E+01	6.26E+00	8.42E+00
Skin-Melanoma::SP82431	7.91E+01	2.22E+01	0.00E+00	4.25E+01	5.76E+01	2.91E+01	4.89E+01
Skin-Melanoma::SP82459	1.95E+01	5.66E+00	9.01E+00	1.36E+01	1.47E+01	5.13E+00	1.04E+01
Skin-Melanoma::SP82532	3.67E+01	1.19E+01	1.70E+01	2.97E+01	2.96E+01	1.31E+01	2.44E+01
Skin-Melanoma::SP83482	2.12E+01	8.77E+00	9.05E+00	1.46E+01	1.33E+01	1.09E+01	9.69E+00
Skin-Melanoma::SP104530	2.46E+01	9.05E+00	1.49E+01	2.43E+01	2.34E+01	7.21E+00	1.30E+01
Skin-Melanoma::SP82644	3.58E+01	1.00E+01	2.53E+01	2.27E+01	2.90E+01	7.28E+00	2.85E+01
Skin-Melanoma::SP82988	1.71E+01	6.31E+00	8.61E+00	1.12E+01	1.15E+01	4.37E+00	1.30E+01
Skin-Melanoma::SP82461	2.04E+01	6.02E+00	1.24E+01	1.29E+01	1.63E+01	5.72E+00	1.29E+01
Skin-Melanoma::SP82900	4.95E+01	1.11E+01	3.18E+01	2.62E+01	6.50E+01	1.44E+01	4.11E+01
Skin-Melanoma::SP82399	2.43E+01	8.41E+00	9.19E+00	1.48E+01	1.89E+01	7.89E+00	1.51E+01
Skin-Melanoma::SP82417	3.22E+01	1.08E+01	2.41E+01	1.97E+00	2.91E+01	4.44E+00	2.39E+01
Skin-Melanoma::SP104056	7.02E+01	1.46E+01	0.00E+00	3.79E+01	9.17E+01	3.17E+01	3.29E+01
Skin-Melanoma::SP83083	1.93E+01	6.42E+00	1.05E+01	1.16E+01	1.38E+01	6.42E+00	8.46E+00
Skin-Melanoma::SP83019	1.98E+01	6.13E+00	9.31E+00	1.26E+01	1.24E+01	5.86E+00	1.13E+01
Skin-Melanoma::SP83146	5.37E+01	1.44E+01	4.11E+01	2.17E+01	4.87E+01	8.21E+00	4.49E+01
Skin-Melanoma::SP103866	2.10E+01	5.52E+00	8.58E+00	1.05E+01	1.24E+01	7.23E+00	1.49E+01
Skin-Melanoma::SP83844	1.64E+01	3.86E+00	7.69E+00	1.13E+01	1.23E+01	6.24E+00	1.00E+01
Stomach-AdenoCA::SP135287	5.00E+01	1.06E+01	1.37E+02	1.95E+01	1.51E+02	2.78E+01	5.46E+00
Stomach-AdenoCA::SP85122	4.75E+01	1.42E+01	1.76E+02	2.49E+01	1.93E+02	2.61E+01	8.85E+00
Stomach-AdenoCA::SP84384	8.21E+01	0.00E+00	2.70E+02	2.65E+01	2.87E+02	4.97E+01	8.77E+00
Stomach-AdenoCA::SP84491	1.28E+01	1.33E+01	3.29E+01	3.02E+01	2.60E+01	3.32E+01	9.67E+00
Stomach-AdenoCA::SP84743	1.28E+01	1.46E+01	2.76E+01	2.87E+01	2.80E+01	3.50E+01	1.51E+01
Stomach-AdenoCA::SP84982	2.66E+01	1.25E+01	1.10E+02	2.48E+01	1.03E+02	3.50E+01	6.59E+00
Stomach-AdenoCA::SP84392	4.48E+01	1.55E+01	2.46E+02	3.65E+01	2.15E+02	5.58E+01	9.72E+00
Stomach-AdenoCA::SP105018	1.42E+01	1.73E+01	2.95E+01	6.92E+01	6.18E+01	2.08E+01	5.04E+01
Stomach-AdenoCA::SP84439	1.06E+02	3.09E+01	1.04E+03	1.96E+02	7.42E+02	2.42E+02	3.70E+01
Stomach-AdenoCA::SP84922	1.41E+01	1.43E+01	3.22E+01	2.76E+01	1.90E+01	3.52E+01	1.08E+01
Uterus-AdenoCA::SP90209	1.28E+03	6.66E+01	7.68E+02	8.31E+01	1.29E+03	3.48E+01	1.08E+01
Uterus-AdenoCA::SP93540	4.33E+01	1.35E+00	1.42E+02	2.18E+01	1.43E+02	2.83E+01	7.56E+00
Uterus-AdenoCA::SP93227	1.35E+03	1.69E+02	1.30E+03	4.21E+02	2.78E+03	1.55E+02	0.00E+00
Uterus-AdenoCA::SP94933	6.01E+01	1.13E+01	2.01E+02	4.82E+01	1.12E+02	6.00E+01	1.45E+01
Uterus-AdenoCA::SP92364	6.17E+01	2.91E+01	6.62E+02	1.05E+02	4.29E+02	1.08E+02	1.24E+01
Uterus-AdenoCA::SP92659	2.60E+00	1.59E+02	1.60E+02	2.43E+01	0.00E+00	1.31E+01	7.18E+00
